['1399053901', '591.2800', '591.5400', '591.1800', '591.4800', '12600', '2014-05-02 14:05:01']
['1399053966', '591.1201', '591.2700', '591.0500', '591.2000', '7200', '2014-05-02 14:06:06']
['1399054023', '591.2500', '591.4300', '591.1300', '591.1300', '10300', '2014-05-02 14:07:03']
['1399054081', '591.2700', '591.4187', '591.1100', '591.3400', '9400', '2014-05-02 14:08:01']
['1399054153', '591.0300', '591.3500', '591.0300', '591.1801', '8000', '2014-05-02 14:09:13']
['1399054200', '591.2700', '591.3600', '591.0000', '591.0650', '6400', '2014-05-02 14:10:00']
['1399054274', '591.5500', '591.5500', '591.2520', '591.2520', '6900', '2014-05-02 14:11:14']
['1399054323', '591.4600', '591.5200', '591.2900', '591.4999', '7500', '2014-05-02 14:12:03']
['1399054380', '591.3500', '591.6000', '591.3500', '591.4600', '8800', '2014-05-02 14:13:00']
['1399054499', '591.2900', '591.5100', '591.2900', '591.3800', '6900', '2014-05-02 14:14:59']
